"orderID","customerID","employeeID","orderDate","shippedDate","shipperID","freight","productID","unitPrice","quantity","discount","line_total"
10248,VINET,5,"2013-07-04","2013-07-16",3,32.38,11,14.0,12,0.0,144.0
10248,VINET,5,"2013-07-04","2013-07-16",3,32.38,42,9.8,10,0.0,100.0
10248,VINET,5,"2013-07-04","2013-07-16",3,32.38,72,34.8,5,0.0,25.0
10249,TOMSP,6,"2013-07-05","2013-07-10",1,11.61,14,18.6,9,0.0,81.0
10249,TOMSP,6,"2013-07-05","2013-07-10",1,11.61,51,42.4,40,0.0,1600.0
10250,HANAR,4,"2013-07-08","2013-07-12",2,65.83,41,7.7,10,0.0,100.0
10250,HANAR,4,"2013-07-08","2013-07-12",2,65.83,51,42.4,35,0.15,1041.0
10250,HANAR,4,"2013-07-08","2013-07-12",2,65.83,65,16.8,15,0.15,191.0
10251,VICTE,3,"2013-07-08","2013-07-15",1,41.34,22,16.8,6,0.05,34.0
10251,VICTE,3,"2013-07-08","2013-07-15",1,41.34,57,15.6,15,0.05,214.0
10251,VICTE,3,"2013-07-08","2013-07-15",1,41.34,65,16.8,20,0.0,400.0
10252,SUPRD,4,"2013-07-09","2013-07-11",2,51.3,20,64.8,40,0.05,1520.0
10252,SUPRD,4,"2013-07-09","2013-07-11",2,51.3,33,2.0,25,0.05,594.0
10252,SUPRD,4,"2013-07-09","2013-07-11",2,51.3,60,27.2,40,0.0,1600.0
10253,HANAR,3,"2013-07-10","2013-07-16",2,58.17,31,10.0,20,0.0,400.0
10253,HANAR,3,"2013-07-10","2013-07-16",2,58.17,39,14.4,42,0.0,1764.0
10253,HANAR,3,"2013-07-10","2013-07-16",2,58.17,49,16.0,40,0.0,1600.0
10254,CHOPS,5,"2013-07-11","2013-07-23",2,22.98,24,3.6,15,0.15,191.0
10254,CHOPS,5,"2013-07-11","2013-07-23",2,22.98,55,19.2,21,0.15,375.0
10254,CHOPS,5,"2013-07-11","2013-07-23",2,22.98,74,8.0,21,0.0,441.0
10255,RICSU,9,"2013-07-12","2013-07-15",3,148.33,2,15.2,20,0.0,400.0
10255,RICSU,9,"2013-07-12","2013-07-15",3,148.33,16,13.9,35,0.0,1225.0
10255,RICSU,9,"2013-07-12","2013-07-15",3,148.33,36,15.2,25,0.0,625.0
10255,RICSU,9,"2013-07-12","2013-07-15",3,148.33,59,44.0,30,0.0,900.0
10256,WELLI,3,"2013-07-15","2013-07-17",2,13.97,53,26.2,15,0.0,225.0
